LocationAbbrev,Location,LithotypeAbbrev,GenericLithotype,Lithotype,Sample,Ophiolite,CH4,Al2O3,Au,Ba,CaO,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe2O3,Ga,Gd,Ge,Hf,Ho,Ir,K2O,La,LOI,Lu,MgO,MnO,Na2O,Nb,Nd,Ni,Os,P2O5,Pd,Pr,Pt,Rb,Rh,Ru,S,Sb,Sc,SiO2,Sm,Sr,Ta,Tb,Th,TiO2,Tm,U,V,W,Y,Yb,Zn,Zr,Total
KRN,Kournovo,Oph Bst,Bst,Ophiolitic Basalt,KRN4,Othrys,25,13.77,2,267,17.09,56.2,33,5040,1.1,30,3.78,2.14,1.25,6.79,14,3.89,1.1,2.2,0.73,0.1,2.03,31.4,15.76,0.31,3.39,0.11,2.71,47.1,20.7,115,1,0.4,1,5.71,2.5,50,0.2,5,0.02,0.9,21,35.73,4,375,3.03,0.61,4.57,1.23,0.3,1.03,150,2.1,20.3,1.99,79,88,99.01
KRN,Kournovo,Oph Bst,Bst,Ophiolitic Basalt,KRN6,Othrys,18,12.93,2,208,20.92,50.8,24,2050,0.7,28,3.34,1.84,1.12,6.49,13,3.41,1.2,2,0.66,0.1,1.58,28.6,16.98,0.27,2.75,0.09,2.85,43.4,19,74,1,0.35,1,5.15,2.5,36,0.2,5,0.02,0.9,19,34.67,3.52,331,2.73,0.56,4.17,1.15,0.28,0.97,163,2,18.2,1.84,67,82,100.7
KRN,Kournovo,Oph Bst,Bst,Ophiolitic Basalt,KRN7,Othrys,20,13.41,2,183,17.46,55.8,32,780,0.9,34,3.71,2.1,1.32,6.65,14,3.68,1.1,2.3,0.76,0.1,1.78,31.7,16.77,0.33,4.2,0.1,2.51,47.9,20.9,113,1,0.35,1,5.73,2.5,45,0.2,5,0.01,0.9,21,35.41,3.86,372,2.99,0.63,4.69,1.24,0.31,1.08,141,1.8,20.2,2.01,62,91,99.88
MKL,Mikrokleisoura,Oph Bst,Bst,Ophiolitic Basalt,MKL2,Vourinos,25,15.16,2,30,6.7,5.82,27,660,0.05,15,3.58,2.3,0.71,9.83,15,2.6,1.2,1.3,0.76,0.1,0.26,2.33,1.98,0.36,4.68,0.16,2.96,1.3,4.75,69,1,0.08,1,0.92,2.5,2,0.2,5,0.0005,0.7,30,57.76,1.8,102,0.2,0.52,0.33,0.76,0.33,0.15,255,1.6,20.4,2.3,43,40,100.3
MKL,Mikrokleisoura,Oph Bst,Bst,Ophiolitic Basalt,MKL4,Vourinos,118,14.22,5.5,159,8.92,40.4,33,730,0.1,35,3.78,2.3,1.32,8.36,15,3.89,1.3,2.3,0.76,0.1,1,18.2,4.66,0.36,3.87,0.14,3.52,22.5,19.7,113,1,0.32,1,4.85,2.5,15,0.2,5,0.02,0.8,28,49.43,4,201,1.52,0.63,2.3,1.24,0.33,0.74,211,2,20.4,2.3,71,91,99.76
MZ,Mouzaki,Oph Bst,Bst,Ophiolitic Basalt,MZ1,Koziakas,25,14.22,2,246,4.72,116,16,290,0.1,30,12.5,7.03,3.53,10.71,23,12,1.8,11.9,2.48,0.1,1.18,55.5,4.62,0.99,1.97,0.18,4.75,55.4,53.3,12,1,0.54,1,13.5,2.5,15,0.2,5,0.04,0.8,14,54.97,11.9,233,3.6,2.12,7.73,1.55,1,2.21,52,1.9,67.1,6.7,144,506,99.4
MZ,Mouzaki,Oph Bst,Bst,Ophiolitic Basalt,MZ10,Koziakas,25,17.53,2,159,7.09,40.7,36,410,0.5,52,5.64,3.08,1.82,7.66,17,5.71,1.3,3.8,1.12,0.1,1.21,19.2,4.97,0.4,3.09,0.13,4.51,22.9,21.5,129,1,0.32,1,5.06,2.5,18,0.2,5,0.01,0.7,34,52.13,5.24,435,1.58,0.96,2.32,1.97,0.43,0.74,254,1.6,30,2.81,71,150,100.6
MZ,Mouzaki,Oph Bst,Bst,Ophiolitic Basalt,MZ11,Koziakas,43,16.44,2,68,8.9,36.2,37,330,0.1,22,5.07,2.88,1.59,13.18,24,5.18,2.3,3.2,1.03,0.1,0.41,17.6,4.31,0.39,2.65,0.16,4.55,19.5,18.7,117,1,0.31,1,4.42,2.5,10,0.2,5,0.02,0.8,28,46.95,4.53,201,1.32,0.85,1.95,1.59,0.4,0.55,211,2,28.9,2.59,85,125,99.46
MZ,Mouzaki,Oph Bst,Bst,Ophiolitic Basalt,MZ2,Koziakas,25,14.47,2,339,3.5,110,23,6390,0.05,35,12.8,7.35,3.22,11.92,25,12.7,1.6,10.9,2.57,0.1,2.25,51.3,3.53,1.02,3.87,0.28,4.08,54.2,53.6,35,1,0.66,1,13.3,2.5,39,0.2,5,0.06,0.3,16,52.31,12.4,160,3.66,2.12,7.41,1.95,1.08,2.11,91,0.5,70.3,6.7,123,525,98.81
MZ,Mouzaki,Oph Bst,Bst,Ophiolitic Basalt,MZ9,Koziakas,25,16.69,2,137,7.62,40.4,32,380,0.3,69,5.46,2.95,1.69,7.78,17,5.64,1.3,3.7,1.1,0.1,1,18.2,4.99,0.39,3.53,0.13,4.38,22.5,20.6,110,1,0.32,1,4.85,2.5,15,0.2,5,0.01,0.7,32,51.57,4.92,372,1.52,0.93,2.3,1.87,0.43,0.7,270,3,29.1,2.75,71,154,99.88
